nome,idade,salario,experiencia,aprovado
João Silva,25,3000,2,sim
Maria Santos,30,5000,5,sim
Pedro Costa,22,2000,1,não
Ana Lima,35,7000,8,sim
Carlos Rocha,28,4000,3,sim
Lucia Alves,24,2500,1,não
Rafael Mendes,32,6000,6,sim
Fernanda Cruz,26,3500,2,sim
Bruno Dias,29,4500,4,sim
Camila Nunes,23,2200,1,não
José Oliveira,31,5500,7,sim
Mariana Gomes,27,3800,3,sim
Roberto Lima,33,6500,9,sim
Patricia Silva,25,3200,2,sim
Felipe Santos,24,2800,1,não
Amanda Costa,30,5200,5,sim
Diego Almeida,28,4200,3,sim
Juliana Rocha,26,3600,2,sim
Gustavo Pereira,29,4800,4,sim
Larissa Martins,27,3900,3,sim
